2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,433 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,289 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 13:00:04,497 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
