2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:11,900 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:48,605 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
