2025-06-06 14:35:30,405 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:35:30,405 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:35:30,406 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:35:30,406 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:35:32,466 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:35:32,466 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:35:34,500 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:34,500 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:36,533 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:36,533 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:36,534 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:35:36,534 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:35:47,175 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:35:50,171 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:35:50,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:35:52,227 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:35:54,262 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:56,324 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:56,324 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:36:02,346 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:36:02,346 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:36:05,461 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:36:05,461 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:36:05,462 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:36:05,462 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:36:07,501 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:36:07,501 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:36:09,560 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:09,560 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:11,623 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:11,623 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:11,624 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:36:11,624 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:36:16,081 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:36:20,343 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:36:20,343 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:36:22,379 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:36:24,439 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:24,464 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:36:26,480 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:26,481 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:36:27,521 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:36:27,521 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:36:29,570 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:36:31,637 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:36:33,679 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
